cohort,label,cardName,offeredGames,keptGames,notKeptGames,keepRate,avgEloGainOffered,avgEloGainKept,avgEloGainNotKept,stddevEloGainOffered,stddevEloGainKept,stddevEloGainNotKept,avgEloDeltaOffered,avgEloDeltaKept,avgEloDeltaNotKept
tfmstats_reference,TFMStats reference,AI Central,17190,16452,738,95.70680628272251,1.835892961023851,1.9406759056649647,-0.5,8.150077455156355,8.185111784933298,6.930406133288311,1.685696379850145,1.7904793244912587,-0.650196581173706
tfmstats_reference,TFMStats reference,Acquired Company,17497,17016,481,97.25095730696691,0.8047665314053838,0.8391513869299483,-0.41164241164241167,7.974743949801023,7.991910240276057,7.244896882532618,0.6545699502316777,0.6889548057562422,-0.5618389928161177
tfmstats_reference,TFMStats reference,Adaptation Technology,17433,6709,10724,38.484483450926405,-0.054781162163712496,-0.26516619466388436,0.07683700111898545,8.156514091183356,7.910173899730982,8.304567328106154,-0.20497774333741853,-0.4153627758375904,-0.07335958005472057
tfmstats_reference,TFMStats reference,Adapted Lichen,17515,8847,8668,50.510990579503286,-0.11213245789323437,-0.42635921781394825,0.20858329487771113,8.096785819726422,7.790074186121569,8.386606329882028,-0.2623290390669404,-0.5765557989876543,0.05838671370400511
tfmstats_reference,TFMStats reference,Advanced Alloys,17172,16657,515,97.00093174935942,1.5467039366410436,1.5845590442456625,0.32233009708737864,8.184842418536379,8.167050714565837,8.660309436771263,1.3965073554673375,1.4343624630719565,0.17213351591367262
tfmstats_reference,TFMStats reference,Advanced Ecosystems,17279,10991,6288,63.60900515076104,-0.13334104982927253,0.04867618960968065,-0.4514949109414758,8.038247722672347,8.172096592372394,7.789206395578324,-0.2835376310029786,-0.10152039156402537,-0.6016914921151818
tfmstats_reference,TFMStats reference,Aerobraked Ammonia Asteroid,17540,2752,14788,15.689851767388825,-0.21710376282782212,-0.8401162790697675,-0.10116310522044901,7.977966082016949,7.280625439067886,8.09605659646971,-0.3673003440015281,-0.9903128602434735,-0.251359686394155
tfmstats_reference,TFMStats reference,Algae,17467,12826,4641,73.42989637602336,0.038930554760405335,0.15741462653984095,-0.28851540616246496,8.084134504663904,8.272254194805127,7.531037471906826,-0.11126602641330069,0.007218045366134934,-0.438711987336171
tfmstats_reference,TFMStats reference,Anti-Gravity Technology,17213,14923,2290,86.6961017835357,0.577354325219311,0.7442203310326342,-0.5100436681222708,8.143996064490777,8.17874585306089,7.828889521402648,0.4271577440456049,0.5940237498589281,-0.6602402492959768
tfmstats_reference,TFMStats reference,Ants,17195,2114,15081,12.294271590578656,-0.08607153242221575,-0.6811731315042573,-0.0026523440090179696,8.109688493776668,7.556604840213471,8.181008827244245,-0.23626811359592176,-0.8313697126779633,-0.152848925182724
tfmstats_reference,TFMStats reference,Aquifer Pumping,17536,3413,14123,19.462819343065693,0.08245894160583941,0.1582185760328157,0.0641506762019401,8.098068585786312,7.961891980332911,8.130807618987745,-0.0677376395678666,0.008021994859109677,-0.08604590497176592
tfmstats_reference,TFMStats reference,Archaebacteria,17474,13971,3503,79.95307313723247,0.13150967151196064,0.05690358599957054,0.4290608050242649,7.996879544998288,7.95909262736049,8.140192979926347,-0.018686909661745382,-0.09329299517413547,0.27886422385055887
tfmstats_reference,TFMStats reference,Arctic Algae,17410,16479,931,94.65249856404365,0.43877082136703044,0.502700406578069,-0.6928034371643395,8.060484309305947,8.12576242076983,6.705650143924851,0.28857424019332445,0.352503825404363,-0.8430000183380455
tfmstats_reference,TFMStats reference,Artificial Lake,17430,951,16479,5.4561101549053355,-0.0706253585771658,-0.9242902208201893,-0.021360519448995693,8.020872064377262,7.64519449313021,8.039472354325271,-0.22082193975087183,-1.0744868019938953,-0.1715571006227017
tfmstats_reference,TFMStats reference,Artificial Photosynthesis,17375,13662,3713,78.63021582733813,0.0620431654676259,0.09537403015663885,-0.06059789927282521,8.172795413218816,8.094632481136085,8.454164027587304,-0.08815341570608012,-0.054822551017067164,-0.21079448044653123
tfmstats_reference,TFMStats reference,Asteroid,17716,15050,2666,84.95145631067962,-0.03906073605780086,0.005780730897009967,-0.2921980495123781,8.144264330718006,8.240304479804685,7.575792832630657,-0.18925731723150688,-0.14441585027669604,-0.4423946306860841
tfmstats_reference,TFMStats reference,Asteroid Mining,17286,14893,2393,86.15642716649312,0.23203748698368623,0.1919693815886658,0.48140409527789385,8.08421217017957,8.038753167027505,8.358987274891975,0.08184090580998021,0.04177280041495979,0.3312075141041878
tfmstats_reference,TFMStats reference,Asteroid Mining Consortium,17269,15040,2229,87.09247785048352,0.8772366668596908,1.0079122340425533,-0.004486316733961417,8.089792231235181,8.052441566184562,8.285577092960388,0.7270400856859848,0.8577156528688472,-0.15468289790766743
tfmstats_reference,TFMStats reference,Beam From a Thorium Asteroid,17558,9445,8113,53.79314272696207,0.06162433078938376,-0.11328745367919534,0.2652532971773697,8.063198436069108,7.814781864467926,8.33895156942279,-0.08857225038432226,-0.26348403485290134,0.11505671600366366
tfmstats_reference,TFMStats reference,Big Asteroid,17452,15302,2150,87.68049507219803,0.3020284208113683,0.40413017906156057,-0.4246511627906977,8.158285294357126,8.300602226263544,7.021978839734094,0.1518318396376623,0.2539335978878545,-0.5748477439644037
tfmstats_reference,TFMStats reference,Biomass Combustors,17346,3679,13667,21.209500749452324,-0.19768246281563473,-0.2065778744223974,-0.195287919806834,7.978130770249457,8.201761783965276,7.917157491250143,-0.3478790439893408,-0.35677445559610343,-0.34548450098054
tfmstats_reference,TFMStats reference,Birds,17425,9879,7546,56.694404591104735,0.09360114777618364,0.21034517663731148,-0.05923668168566128,8.066230154218584,8.293090469580193,7.757102145235797,-0.05659543339752238,0.06014859546360546,-0.2094332628593673
tfmstats_reference,TFMStats reference,Black Polar Dust,17375,5045,12330,29.035971223021583,-0.14797122302158272,-0.398414271555996,-0.04549878345498783,8.01082986164789,8.188176270285208,7.935181664761073,-0.29816780419528877,-0.548610852729702,-0.19569536462869386
tfmstats_reference,TFMStats reference,Breathing Filters,17330,2641,14689,15.239469128678593,-0.11754183496826313,-0.7277546383945476,-0.007828987677854176,8.020350246622085,7.5018496604273315,8.105429756343765,-0.26773841614196914,-0.8779512195682536,-0.1580255688515602
