map,card,map_elo_delta,other_maps_elo_delta,difference,approx_standard_error,approx_z_score,map_offers,other_maps_offers
Tharsis,AI Central,2.346039021241898,2.179555022006633,0.1664839992352647,0.1833348975008875,0.9080867936474493,4545,4278
Tharsis,Acquired Company,0.9568519728073245,0.7664456295936414,0.1904063432136831,0.18070454795854413,1.0536887165527493,4625,4362
Tharsis,Adaptation Technology,-0.27204104763455517,-0.13909290084364467,-0.1329481467909105,0.18353085695391255,-0.7243912495014168,4646,4300
Tharsis,Adapted Lichen,-0.40430357394063116,-0.20221016952251653,-0.20209340441811463,0.18081915331463808,-1.1176548541097184,4637,4371
Tharsis,Advanced Alloys,1.815730477261008,1.698784188693671,0.11694628856733691,0.18345960837313685,0.6374497885631637,4609,4303
Tharsis,Advanced Ecosystems,-0.13321466950005045,-0.5266194253319096,0.3934047558318592,0.1825030321176706,2.1556066837191374,4586,4340
Tharsis,Aerobraked Ammonia Asteroid,-0.5546814429613854,-0.3717807156544902,-0.18290072730689522,0.18223384433004527,-1.003659490251669,4590,4340
Tharsis,Algae,0.09027071313355384,-0.27206912242713044,0.3623398355606843,0.1821649639398771,1.989075328888563,4540,4450
Tharsis,Anti-Gravity Technology,0.5584835721486012,0.5576853981034475,0.0007981740451536989,0.183293347794737,0.004354626366732865,4464,4254
Tharsis,Ants,-0.5051921114867598,-0.27191658742179564,-0.23327552406496416,0.18115140052662373,-1.2877378998274969,4576,4265
Tharsis,Aquifer Pumping,-0.022407019113275903,-0.26657248800578864,0.24416546889251273,0.18303006252535303,1.3340183876006233,4613,4315
Tharsis,Archaebacteria,0.005479346396407812,0.08653549376337201,-0.0810561473669642,0.1800765613758799,-0.4501204751337569,4492,4483
Tharsis,Arctic Algae,0.4617609566315626,0.5950912381135225,-0.1333302814819599,0.18336934827569074,-0.7271132429477882,4543,4267
Tharsis,Artificial Lake,-0.40602203013544635,-0.19247694976761362,-0.21354508036783273,0.18221797956571006,-1.1719210194119496,4537,4396
Tharsis,Artificial Photosynthesis,-0.219786244978241,-0.1562484935752398,-0.06353775140300122,0.1834864453722639,-0.34628035479184055,4581,4226
Tharsis,Asteroid,-0.3798750442596015,-0.3595366275490621,-0.020338416710539375,0.18258695455921264,-0.11139030583887449,4613,4349
Tharsis,Asteroid Mining,-0.16590053515915723,0.3610178206718762,-0.5269183558310334,0.18186218834011408,-2.8973496945148596,4580,4331
Tharsis,Asteroid Mining Consortium,0.6859137307988796,1.2819289199473063,-0.5960151891484267,0.1851089066465795,-3.2198082736579114,4487,4408
Tharsis,Beam From a Thorium Asteroid,-0.15269090427855977,0.08656530073526891,-0.2392562050138287,0.18312373941674714,-1.3065275194568688,4569,4348
Tharsis,Big Asteroid,0.19209419812701614,0.2542364571368761,-0.06214225900985995,0.18102571921737975,-0.3432786196266296,4673,4329
Tharsis,Biomass Combustors,-0.5104317045708411,-0.5342810172444726,0.02384931267363155,0.18296897790573075,0.1303462092132317,4572,4202
Tharsis,Birds,-0.057621620051589446,0.05937700307853987,-0.11699862313012932,0.1826385528254451,-0.6406020049991829,4578,4294
Tharsis,Black Polar Dust,-0.27386965535261465,-0.30314781511965894,0.029278159767044287,0.18217126318619478,0.16071777323693187,4547,4384
Tharsis,Breathing Filters,-0.2937762407721086,-0.39379953872520673,0.10002329795309811,0.18430652786388915,0.5427007882594672,4592,4255
Tharsis,Bribed Committee,0.2820305746953932,-0.043773007501264186,0.3258035821966574,0.18033284737632674,1.8066790767006287,4595,4387
Tharsis,Building Industries,0.32390077392223404,0.4705963337022641,-0.14669555978003007,0.1838309358817973,-0.7979916931628681,4538,4282
Tharsis,Bushes,-0.23712213197055135,-0.2517801106723581,0.014657978701806768,0.18273098420422884,0.08021616457460938,4561,4418
Tharsis,Business Contacts,0.27749750158927655,0.2695839716762632,0.007913529913013362,0.18207471247931373,0.04346309163559685,4574,4331
Tharsis,Business Network,0.23551463546998716,0.18129396254656244,0.05422067292342472,0.18745571971165126,0.289245230856803,4455,4333
Tharsis,CEO's Favourite Project,-0.38041703899827267,-0.25040737154474935,-0.13000966745352333,0.18442046422948863,-0.7049633455631164,4510,4339
Tharsis,Callisto Penal Mines,-0.6426507014957,-0.15327943331377172,-0.48937126818192833,0.18413180530925102,-2.6577226425387233,4568,4307
Tharsis,Capital,-0.3925705926152409,-0.37023459931173996,-0.022335993303500945,0.17979776740998757,-0.1242284241081194,4662,4278
Tharsis,Carbonate Processing,-0.448674650476768,-0.21693549708592558,-0.23173915339084245,0.18043284463487413,-1.2843512712987057,4552,4248
Tharsis,Caretaker Contract,-0.6508420087141331,-0.2836811807807618,-0.3671608279333713,0.17923103717541813,-2.048533745715154,4695,4290
Tharsis,Cartel,0.5170108401552378,0.5097854026319195,0.007225437523318279,0.18340924866965763,0.03939516450630127,4528,4267
Tharsis,Cloud Seeding,-0.3895938026116632,-0.26947305198555943,-0.12012075062610378,0.18074165867177688,-0.664599138399192,4517,4456
Tharsis,Colonizer Training Camp,-0.6646651559719402,-0.33634480598846767,-0.32832034998347254,0.1809535902593212,-1.8143898085302579,4635,4367
Tharsis,Comet,0.1551679198396628,0.029535367842923117,0.12563255199673967,0.18386974536039558,0.6832692988750947,4478,4372
Tharsis,Commercial District,0.12866932526663075,-0.02907156275650966,0.1577408880231404,0.18168242152162242,0.8682231704203002,4586,4305
Tharsis,Convoy From Europa,-0.05924725776718378,-0.04176088194593902,-0.017486375821244758,0.18240789305321903,-0.09586414013423729,4591,4317
Tharsis,Corporate Stronghold,0.013320077115499124,0.07929784889602905,-0.06597777178052992,0.18356298516324962,-0.3594285183467318,4552,4288
Tharsis,Cupola City,-0.11377311381776212,-0.10217716345826801,-0.011595950359494109,0.18476275625630648,-0.06276129775531158,4485,4319
Tharsis,Decomposers,-0.4013921614368097,-0.22525288415977723,-0.1761392772770325,0.18187656872875438,-0.9684550269898795,4550,4349
Tharsis,Deep Well Heating,0.02424124250006928,-0.07099794407904937,0.09523918657911865,0.17984836682424774,0.5295526907519196,4633,4330
Tharsis,Deimos Down,0.6490878493499495,0.7001005145314757,-0.05101266518152625,0.18056628896952723,-0.2825148895325376,4564,4371
Tharsis,Designed Microorganisms,0.31266234289534994,0.3688329262415419,-0.05617058334619196,0.18051716636578846,-0.31116477439254436,4538,4392
Tharsis,Development Center,1.2277829926773687,1.2341723595898013,-0.006389366912432637,0.1846370558151821,-0.034605008643705096,4592,4259
Tharsis,Domed Crater,-0.12759667343571426,-0.22920628025232664,0.10160960681661238,0.18284678496432763,0.5557090152634395,4494,4371
Tharsis,Dust Seals,-0.37855558726574684,-0.4211668443352953,0.042611257069548436,0.18111587936250334,0.23527068537299275,4616,4327
Tharsis,Earth Catapult,2.6741655769142247,2.7829002053128193,-0.1087346283985946,0.18270368176290222,-0.5951419662122707,4475,4264
Tharsis,Earth Office,0.852755306360536,0.787254233385168,0.065501072975368,0.18503091195918103,0.3540007033517618,4507,4247
Tharsis,Ecological Zone,-0.333784024892503,0.07355906496470882,-0.4073430898572118,0.17986893756149205,-2.2646661251220923,4700,4402
Tharsis,Electro Catapult,0.914371098620335,0.7989021392071383,0.11546895941319679,0.18030838517581277,0.6403970580769541,4546,4323
Tharsis,Energy Saving,-0.226028468525947,-0.4162486737016757,0.19022020517572868,0.18061119301427123,1.0532027500681986,4664,4414
Tharsis,Energy Tapping,0.41562064138810895,0.2324542323264338,0.18316640906167514,0.1804001421060259,1.0153340619544713,4556,4359
Tharsis,Eos Chasma National Park,-0.09732931471373474,-0.26781138421563133,0.1704820695018966,0.18139123147525707,0.9398583829844688,4556,4372
Tharsis,Equatorial Magnetizer,-0.42444651563263597,-0.5774031829382023,0.15295666730556629,0.18008984966470534,0.8493353045179608,4538,4244
Tharsis,Extreme-Cold Fungus,-0.28672064520513485,-0.2195873526101512,-0.06713329259498366,0.1821793768053248,-0.3685010552359155,4538,4376
Tharsis,Farming,-0.442088477623365,-0.44243377078335183,0.00034529315998682586,0.18047114378905163,0.0019132873695887399,4559,4320
Tharsis,Fish,-0.20952150116588897,-0.35292874906436406,0.1434072478984751,0.18055483147625448,0.7942587120264083,4607,4357
Tharsis,Flooding,-0.13663467919901254,-0.08688506567769559,-0.049749613521316946,0.18369040746725285,-0.27083403105949333,4572,4359
Tharsis,Food Factory,-0.5738420896762116,-0.245959352931395,-0.3278827367448166,0.1827006650806147,-1.7946444617491781,4617,4234
Tharsis,Fuel Factory,0.3006155733177061,0.2685563571643565,0.03205921615334961,0.18184061808067256,0.17630393303616423,4660,4261
Tharsis,Fueled Generators,-0.289538694321443,-0.3449768631837107,0.055438168862267656,0.18228066837740617,0.3041363045009509,4601,4335
Tharsis,Fusion Power,-0.33890338955369065,-0.3594186644693863,0.020515274915695658,0.18383645762699405,0.11159524710447451,4458,4339
Tharsis,GHG Factories,-0.269010138048895,-0.2649580959559821,-0.004052042092912933,0.17999100107429541,-0.02251247044978854,4583,4425
Tharsis,GHG Producing Bacteria,-0.13050957697256338,-0.3179678557481499,0.18745827877558652,0.18257995827505055,1.0267188170411723,4537,4319
Tharsis,Ganymede Colony,-0.1581966664036892,-0.4234156350171361,0.26521896861344685,0.18202020572417058,1.4570853140082363,4582,4427
Tharsis,Gene Repair,-0.15767460240010175,-0.2180667793843699,0.06039217698426816,0.1831519649383888,0.3297380784562356,4606,4220
Tharsis,Geothermal Power,0.06968194738120154,-0.13889605834474217,0.2085780057259437,0.18173902807805248,1.1476786683175424,4592,4291
Tharsis,Giant Ice Asteroid,1.2010254209807727,0.4445562673693099,0.7564691536114627,0.18038645795727457,4.193602791350536,4550,4349
